job_id,company,title,location,tags,url,scraped_at,run_id
1129072,Metana,Coding Bootcamp﹣Job Guaranteed,Remote,"['No Tech Background Needed', 'Job or 100% Money Back']",https://remoteok.com/remote-jobs/remote-coding-bootcamp-job-guaranteed-metana-1129072,2025-12-25T19:08:12.015379+00:00,
1129337,FalconX,Product Security Engineer DeFi,,"['Defi', 'Security', 'Design', 'Crypto', 'Cryptocurrency', 'Support', 'Code', 'Financial', 'Finance', 'Management', 'Engineer', 'Engineering']",https://remoteok.com/remote-jobs/remote-product-security-engineer-defi-falconx-1129337,2025-12-25T19:08:12.015379+00:00,
1129336,Arize AI,Senior Frontend Engineer,,"['Front End', 'React', 'Typescript', 'API', 'Senior', 'Junior', 'Engineer', 'Engineering', 'Backend']",https://remoteok.com/remote-jobs/remote-senior-frontend-engineer-arize-ai-1129336,2025-12-25T19:08:12.015379+00:00,
1129335,Wormhole Foundation,Site Reliability Engineer,,"['Security', 'Support', 'Operational', 'Reliability', 'Engineer']",https://remoteok.com/remote-jobs/remote-site-reliability-engineer-wormhole-foundation-1129335,2025-12-25T19:08:12.015379+00:00,
1129332,Nansen.ai,Senior Data Engineer,"Remote EMEA, Remote Asia","['Crypto', 'Software', 'Senior', 'Operational', 'Analytics', 'Engineer', 'Engineering']",https://remoteok.com/remote-jobs/remote-senior-data-engineer-nansen-ai-1129332,2025-12-25T19:08:12.015379+00:00,
1129331,GiveDirectly,Social Media Manager,,"['Manager', 'Software', 'Financial', 'Management', 'Operations']",https://remoteok.com/remote-jobs/remote-social-media-manager-givedirectly-1129331,2025-12-25T19:08:12.015379+00:00,
1129330,Teleport,Senior Full Stack Engineer,,"['Design', 'Security', 'Recruiter', 'Support', 'Code', 'Voice', 'Edu', 'Investment', 'Typescript', 'Senior', 'Go', 'Health', 'Engineer', 'Engineering']",https://remoteok.com/remote-jobs/remote-senior-full-stack-engineer-teleport-1129330,2025-12-25T19:08:12.015379+00:00,
1128583,Octo Horizon,Software Engineer C,Remote,"['Engineer', 'Technical', 'Cloud', 'Developer']",https://remoteok.com/remote-jobs/remote-software-engineer-c-octo-horizon-1128583,2025-12-25T19:08:12.015379+00:00,
1129326,CoinGecko,Product Manager GeckoTerminal,,"['Manager', 'Design', 'Crypto', 'Cryptocurrency', 'Support', 'Software', 'Test', 'Growth', 'Voice', 'Financial', 'Edu', 'Leader', 'Marketing']",https://remoteok.com/remote-jobs/remote-product-manager-geckoterminal-coingecko-1129326,2025-12-25T19:08:12.015379+00:00,
1129325,Alpaca,Senior Analytics Engineer,Remote - North America,"['Crypto', 'Technical', 'Support', 'Financial', 'Investment', 'Finance', 'C', 'API', 'Senior', 'Operations', 'Operational', 'Marketing', 'Analytics', 'Engineer', 'Executive']",https://remoteok.com/remote-jobs/remote-senior-analytics-engineer-alpaca-1129325,2025-12-25T19:08:12.015379+00:00,
1129323,Sanctuary,BIM Modeler,,"['Design', 'System', '3d', 'Consultant', 'Consulting', 'Technical', 'Support', 'Test', 'Management', 'Lead', 'Engineering']",https://remoteok.com/remote-jobs/remote-bim-modeler-sanctuary-1129323,2025-12-25T19:08:12.015379+00:00,
1129314,Unlimited Technology,Junior Account Manager,,"['Manager', 'Security', 'Support', 'Management', 'Junior', 'Sales', 'Healthcare', 'Non Tech']",https://remoteok.com/remote-jobs/remote-junior-account-manager-unlimited-technology-1129314,2025-12-25T19:08:12.015379+00:00,
1129310,Best Egg,Web Analyst Web Data and Analytics,Remote / Flexible,"['Web', 'Analyst', 'Technical', 'Testing', 'Growth', 'Director', 'Financial', 'Strategy', 'Management', 'Lead', 'Marketing', 'Analytics', 'Health']",https://remoteok.com/remote-jobs/remote-web-analyst-web-data-and-analytics-best-egg-1129310,2025-12-25T19:08:12.015379+00:00,
1093738,Sticker Mule,Software engineer,Remote,"['Engineer', 'Developer', 'Docker', 'Postgres', 'Redis', 'GCP', 'Kubernetes']",https://remoteok.com/remote-jobs/remote-software-engineer-sticker-mule-1093738,2025-12-25T19:08:12.015379+00:00,
1093412,AMK Solutions,Senior Full Stack Engineer,Remote,['Developer'],https://remoteok.com/remote-jobs/remote-senior-full-stack-engineer-amk-solutions-1093412,2025-12-25T19:08:12.015379+00:00,
1129309,xAI,Software Engineer Infrastructure,,"['Software', 'Engineer', 'Engineering']",https://remoteok.com/remote-jobs/remote-software-engineer-infrastructure-xai-1129309,2025-12-25T19:08:12.015379+00:00,
1129308,HugeInc,Senior Data Engineer,,"['Support', 'Senior', 'Engineer', 'Engineering']",https://remoteok.com/remote-jobs/remote-senior-data-engineer-hugeinc-1129308,2025-12-25T19:08:12.015379+00:00,
1129307,Intrinsic,Performance Application Engineer Intelligent Factory,,"['System', 'Technical', 'Software', 'Testing', 'Test', 'C++', 'Robotics', 'Strategy', 'Lead', 'Reliability', 'Engineer']",https://remoteok.com/remote-jobs/remote-performance-application-engineer-intelligent-factory-intrinsic-1129307,2025-12-25T19:08:12.015379+00:00,
1129305,Leona Health,Staff Software Engineer Backend,,"['Software', 'Python', 'Cto', 'Technical', 'Strategy', 'Medical', 'Health', 'Engineer', 'Engineering', 'Backend']",https://remoteok.com/remote-jobs/remote-staff-software-engineer-backend-leona-health-1129305,2025-12-25T19:08:12.015379+00:00,
1129304,Magna Legal Services,AI Engineer,,"['Support', 'Legal', 'Engineer']",https://remoteok.com/remote-jobs/remote-ai-engineer-magna-legal-services-1129304,2025-12-25T19:08:12.015379+00:00,
1129302,Sayari,Data Engineer,,"['Python', 'Software', 'Code', 'Financial', 'Investment', 'Scala', 'Engineer', 'Engineering']",https://remoteok.com/remote-jobs/remote-data-engineer-sayari-1129302,2025-12-25T19:08:12.015379+00:00,
